Rank,Name,Birth Date,Age,Debut,Final Game,Team,Profile Link
#,Name,Address,Age,Born on,First Game,Last Game,
698.,Paul Reuschel,,78.156,01-12-1947,07-25-1975,09-28-1979,https://www.baseball-almanac.com/players/player.php?p=reuscpa01
699.,Bob Reynolds,,78.147,01-21-1947,09-19-1969,09-21-1975,https://www.baseball-almanac.com/players/player.php?p=reynobo01
700.,Bill Stein,,78.147,01-21-1947,09-06-1972,10-06-1985,https://www.baseball-almanac.com/players/player.php?p=steinbi02
701.,Kurt Bevacqua,,78.145,01-23-1947,06-22-1971,10-06-1985,https://www.baseball-almanac.com/players/player.php?p=bevacku01
702.,John Lowenstein,,78.141,01-27-1947,09-02-1970,05-04-1985,https://www.baseball-almanac.com/players/player.php?p=lowenjo01
703.,Tim Plodinec,,78.141,01-27-1947,06-02-1972,06-02-1972,https://www.baseball-almanac.com/players/player.php?p=ploditi01
704.,Matt Alexander,,78.138,01-30-1947,08-23-1973,10-03-1981,https://www.baseball-almanac.com/players/player.php?p=alexama01
705.,Nolan Ryan,,78.137,01-31-1947,09-11-1966,09-22-1993,https://www.baseball-almanac.com/players/player.php?p=ryanno01
706.,Joe Coleman,,78.134,02-03-1947,09-28-1965,09-24-1979,https://www.baseball-almanac.com/players/player.php?p=colemjo05
707.,Barry Raziano,,78.132,02-05-1947,08-18-1973,07-05-1974,https://www.baseball-almanac.com/players/player.php?p=raziaba01
708.,Ted Ford,,78.130,02-07-1947,04-07-1970,09-29-1973,https://www.baseball-almanac.com/players/player.php?p=fordte01
709.,Terry Crowley,,78.121,02-16-1947,09-04-1969,10-02-1983,https://www.baseball-almanac.com/players/player.php?p=crowlte01
710.,Terry Ley,,78.116,02-21-1947,08-20-1971,09-25-1971,https://www.baseball-almanac.com/players/player.php?p=leyte01
711.,Charlie Walters,,78.116,02-21-1947,04-11-1969,04-24-1969,https://www.baseball-almanac.com/players/player.php?p=waltech01
712.,Ken Szotkiewicz,,78.112,02-25-1947,04-07-1970,09-21-1970,https://www.baseball-almanac.com/players/player.php?p=szotkke01
713.,Marty Perez,,78.109,02-28-1947,09-09-1969,05-16-1978,https://www.baseball-almanac.com/players/player.php?p=perezma01
714.,Jim Nettles,,78.107,03-02-1947,09-07-1970,09-13-1981,https://www.baseball-almanac.com/players/player.php?p=nettlji01
715.,Bruce Miller,,78.105,03-04-1947,08-04-1973,08-28-1976,https://www.baseball-almanac.com/players/player.php?p=millebr01
716.,Kent Tekulve,,78.104,03-05-1947,05-20-1974,07-16-1989,https://www.baseball-almanac.com/players/player.php?p=tekulke01
717.,Jim Howarth,,78.102,03-07-1947,09-05-1971,05-19-1974,https://www.baseball-almanac.com/players/player.php?p=howarji01
718.,Darcy Fast,,78.099,03-10-1947,06-15-1968,08-28-1968,https://www.baseball-almanac.com/players/player.php?p=fastda01
719.,Bill Butler,,78.097,03-12-1947,04-09-1969,07-11-1977,https://www.baseball-almanac.com/players/player.php?p=butlebi02
720.,Tom Bradley,,78.093,03-16-1947,09-09-1969,09-15-1975,https://www.baseball-almanac.com/players/player.php?p=bradlto01
721.,Garry Jestadt,,78.090,03-19-1947,09-17-1969,10-04-1972,https://www.baseball-almanac.com/players/player.php?p=jestaga01
722.,Don Rose,,78.090,03-19-1947,09-15-1971,04-23-1974,https://www.baseball-almanac.com/players/player.php?p=rosedo01
723.,Pat Bourque,,78.086,03-23-1947,09-06-1971,09-28-1974,https://www.baseball-almanac.com/players/player.php?p=bourqpa01
724.,Joe Lahoud,,78.064,04-14-1947,04-10-1968,05-24-1978,https://www.baseball-almanac.com/players/player.php?p=lahoujo01
725.,Al Bumbry,,78.057,04-21-1947,09-05-1972,10-05-1985,https://www.baseball-almanac.com/players/player.php?p=bumbral01
726.,Pat Jacquez,,78.055,04-23-1947,04-18-1971,04-25-1971,https://www.baseball-almanac.com/players/player.php?p=jacqupa01
727.,Amos Otis,,78.052,04-26-1947,09-06-1967,08-05-1984,https://www.baseball-almanac.com/players/player.php?p=otisam01
728.,Lute Barnes,,78.050,04-28-1947,08-06-1972,09-26-1973,https://www.baseball-almanac.com/players/player.php?p=barnelu01
729.,Tom House,,78.049,04-29-1947,06-23-1971,09-29-1978,https://www.baseball-almanac.com/players/player.php?p=houseto01
730.,Jim Williams,,78.049,04-29-1947,09-08-1969,09-30-1970,https://www.baseball-almanac.com/players/player.php?p=williji04
731.,Larry Hisle,,78.043,05-05-1947,04-10-1968,05-06-1982,https://www.baseball-almanac.com/players/player.php?p=hislela01
732.,Bob Heise,,78.036,05-12-1947,09-12-1967,10-01-1977,https://www.baseball-almanac.com/players/player.php?p=heisebo01
733.,Steve Kealey,,78.035,05-13-1947,09-09-1968,07-08-1973,https://www.baseball-almanac.com/players/player.php?p=kealest01
734.,Rich Hinton,,78.026,05-22-1947,07-17-1971,09-27-1979,https://www.baseball-almanac.com/players/player.php?p=hintori01
735.,Darrell Evans,,78.022,05-26-1947,04-20-1969,10-01-1989,https://www.baseball-almanac.com/players/player.php?p=evansda01
736.,Don Money,,78.010,06-07-1947,04-10-1968,09-17-1983,https://www.baseball-almanac.com/players/player.php?p=moneydo01
737.,Ken Singleton,,78.007,06-10-1947,06-24-1970,09-25-1984,https://www.baseball-almanac.com/players/player.php?p=singlke01
738.,Jim Minshall,,77.348,07-04-1947,09-14-1974,09-11-1975,https://www.baseball-almanac.com/players/player.php?p=minshji01
739.,Ron Cook,,77.341,07-11-1947,04-10-1970,08-31-1971,https://www.baseball-almanac.com/players/player.php?p=cookro02
740.,Scipio Spinks,,77.340,07-12-1947,09-16-1969,06-09-1973,https://www.baseball-almanac.com/players/player.php?p=spinksc01
741.,Steve Stone,,77.338,07-14-1947,04-08-1971,09-29-1981,https://www.baseball-almanac.com/players/player.php?p=stonest01
742.,Enrique Romo,,77.337,07-15-1947,04-07-1977,10-01-1982,https://www.baseball-almanac.com/players/player.php?p=romoen01
743.,Cliff Johnson,,77.330,07-22-1947,09-13-1972,09-30-1986,https://www.baseball-almanac.com/players/player.php?p=johnscl01
744.,George Lauzerique,,77.330,07-22-1947,09-17-1967,05-28-1970,https://www.baseball-almanac.com/players/player.php?p=lauzege01
745.,Mick Kelleher,,77.327,07-25-1947,09-01-1972,10-03-1982,https://www.baseball-almanac.com/players/player.php?p=kellemi02
746.,Earl Stephenson,,77.321,07-31-1947,04-07-1971,07-26-1978,https://www.baseball-almanac.com/players/player.php?p=stephea01
