Rank,Name,Birth Date,Age,Debut,Final Game,Team,Profile Link
#,Name,Address,Age,Born on,First Game,Last Game,
1.,Bill Greason,,100.287,09-03-1924,05-31-1954,06-20-1954,https://www.baseball-almanac.com/players/player.php?p=greasbi01
2.,Bobby Shantz,,99.264,09-26-1925,05-01-1949,09-29-1964,https://www.baseball-almanac.com/players/player.php?p=shantbo01
3.,Ed Mickelson,,98.281,09-09-1926,09-18-1950,05-12-1957,https://www.baseball-almanac.com/players/player.php?p=mickeed01
4.,Jim Willis,,98.089,03-20-1927,04-22-1953,06-05-1954,https://www.baseball-almanac.com/players/player.php?p=williji02
5.,Bob Oldis,,97.163,01-05-1928,04-28-1953,09-29-1963,https://www.baseball-almanac.com/players/player.php?p=oldisbo01
6.,Roy Face,,97.117,02-20-1928,04-16-1953,08-15-1969,https://www.baseball-almanac.com/players/player.php?p=facero01
7.,Billy Hunter,,97.013,06-04-1928,04-14-1953,09-27-1958,https://www.baseball-almanac.com/players/player.php?p=huntebi03
8.,Bob Ross,,96.227,11-02-1928,06-16-1950,05-08-1956,https://www.baseball-almanac.com/players/player.php?p=rossbo01
9.,Al Worthington,,96.132,02-05-1929,07-06-1953,10-02-1969,https://www.baseball-almanac.com/players/player.php?p=worthal01
10.,Joe Margoneri,,95.155,01-13-1930,04-25-1956,06-03-1957,https://www.baseball-almanac.com/players/player.php?p=margojo01
11.,Vern Law,,95.097,03-12-1930,06-11-1950,08-20-1967,https://www.baseball-almanac.com/players/player.php?p=lawve01
12.,Bob Lillis,,95.015,06-02-1930,08-17-1958,09-17-1967,https://www.baseball-almanac.com/players/player.php?p=lillibo01
13.,Joe Morgan,,94.210,11-19-1930,04-14-1959,10-03-1964,https://www.baseball-almanac.com/players/player.php?p=morgajo01
14.,Jim Marshall,,94.023,05-25-1931,04-15-1958,09-28-1962,https://www.baseball-almanac.com/players/player.php?p=marshji01
15.,Zach Monroe,,93.344,07-08-1931,06-27-1958,05-03-1959,https://www.baseball-almanac.com/players/player.php?p=monroza01
16.,Ray Crone,,93.314,08-07-1931,04-13-1954,07-14-1958,https://www.baseball-almanac.com/players/player.php?p=cronera01
17.,Chuck Essegian,,93.312,08-09-1931,04-15-1958,09-28-1963,https://www.baseball-almanac.com/players/player.php?p=essegch01
18.,Stan Pawloski,,93.284,09-06-1931,09-24-1955,09-25-1955,https://www.baseball-almanac.com/players/player.php?p=pawlost01
19.,Ken Aspromonte,,93.268,09-22-1931,09-02-1957,06-21-1963,https://www.baseball-almanac.com/players/player.php?p=asproke01
20.,Fred Kipp,,93.259,10-01-1931,09-10-1957,05-08-1960,https://www.baseball-almanac.com/players/player.php?p=kippfr01
21.,Bob Skinner,,93.257,10-03-1931,04-13-1954,09-24-1966,https://www.baseball-almanac.com/players/player.php?p=skinnbo01
22.,Gary Blaylock,,93.249,10-11-1931,04-10-1959,09-27-1959,https://www.baseball-almanac.com/players/player.php?p=blaylga01
23.,Neal Hertweck,,93.207,11-22-1931,09-27-1952,09-28-1952,https://www.baseball-almanac.com/players/player.php?p=hertwne01
24.,John Pyecha,,93.204,11-25-1931,04-24-1954,04-24-1954,https://www.baseball-almanac.com/players/player.php?p=pyechjo01
25.,Footer Johnson,,93.122,02-15-1932,06-15-1958,07-30-1958,https://www.baseball-almanac.com/players/player.php?p=johnsfo01
26.,Don Taussig,,93.118,02-19-1932,04-23-1958,08-11-1962,https://www.baseball-almanac.com/players/player.php?p=taussdo01
27.,Lee Tate,,93.091,03-18-1932,09-12-1958,07-02-1959,https://www.baseball-almanac.com/players/player.php?p=tatele01
28.,Felix Torres,,93.047,05-01-1932,04-10-1962,10-03-1964,https://www.baseball-almanac.com/players/player.php?p=torrefe01
29.,Charlie Rabe,,93.042,05-06-1932,09-21-1957,06-04-1958,https://www.baseball-almanac.com/players/player.php?p=rabech01
30.,Bennie Daniels,,93.000,06-17-1932,09-24-1957,09-18-1965,https://www.baseball-almanac.com/players/player.php?p=daniebe02
31.,Ron Necciai,,92.364,06-18-1932,08-10-1952,09-28-1952,https://www.baseball-almanac.com/players/player.php?p=necciro01
32.,Vicente Amor,,92.313,08-08-1932,04-16-1955,08-26-1957,https://www.baseball-almanac.com/players/player.php?p=amorvi01
33.,Eric Mackenzie,,92.292,08-29-1932,04-23-1955,04-23-1955,https://www.baseball-almanac.com/players/player.php?p=mackeer01
34.,Marty Kutyna,,92.215,11-14-1932,09-19-1959,09-22-1962,https://www.baseball-almanac.com/players/player.php?p=kutynma01
35.,Russ Heman,,92.127,02-10-1933,04-20-1961,06-18-1961,https://www.baseball-almanac.com/players/player.php?p=hemanru01
36.,Bill Kern,,92.109,02-28-1933,09-19-1962,09-30-1962,https://www.baseball-almanac.com/players/player.php?p=kernbi01
37.,George Altman,,92.089,03-20-1933,04-11-1959,10-01-1967,https://www.baseball-almanac.com/players/player.php?p=altmage01
38.,Lloyd Merritt,,92.070,04-08-1933,04-22-1957,09-28-1957,https://www.baseball-almanac.com/players/player.php?p=merrill02
39.,Joe McClain,,92.043,05-05-1933,04-14-1961,05-27-1962,https://www.baseball-almanac.com/players/player.php?p=mcclajo01
40.,Taylor Phillips,,91.364,06-18-1933,06-08-1956,09-06-1963,https://www.baseball-almanac.com/players/player.php?p=phillta01
41.,Al Spangler,,91.344,07-08-1933,09-16-1959,09-11-1971,https://www.baseball-almanac.com/players/player.php?p=spangal01
42.,Johnny James,,91.329,07-23-1933,09-06-1958,10-01-1961,https://www.baseball-almanac.com/players/player.php?p=jamesjo01
43.,John Fitzgerald,,91.275,09-15-1933,09-28-1958,09-28-1958,https://www.baseball-almanac.com/players/player.php?p=fitzgjo04
44.,Johnny Goryl,,91.239,10-21-1933,09-20-1957,10-02-1964,https://www.baseball-almanac.com/players/player.php?p=goryljo01
45.,Orlando Pena,,91.212,11-17-1933,08-24-1958,05-01-1975,https://www.baseball-almanac.com/players/player.php?p=penaor01
46.,Camilo Pascual,,91.148,01-20-1934,04-15-1954,05-05-1971,https://www.baseball-almanac.com/players/player.php?p=pascuca02
47.,Joey Amalfitano,,91.145,01-23-1934,05-02-1954,06-27-1967,https://www.baseball-almanac.com/players/player.php?p=amalfjo01
48.,Ted Kazanski,,91.143,01-25-1934,06-25-1953,09-28-1958,https://www.baseball-almanac.com/players/player.php?p=kazante01
49.,Bill White,,91.140,01-28-1934,05-07-1956,09-22-1969,https://www.baseball-almanac.com/players/player.php?p=whitebi03
50.,Ted Wills,,91.128,02-09-1934,05-24-1959,06-12-1965,https://www.baseball-almanac.com/players/player.php?p=willste01
51.,Willie Kirkland,,91.120,02-17-1934,04-15-1958,09-26-1966,https://www.baseball-almanac.com/players/player.php?p=kirklwi01
52.,Don Lee,,91.111,02-26-1934,04-23-1957,08-21-1966,https://www.baseball-almanac.com/players/player.php?p=leedo01
53.,Wes Stock,,91.068,04-10-1934,04-19-1959,05-07-1967,https://www.baseball-almanac.com/players/player.php?p=stockwe01
54.,Marty Keough,,91.064,04-14-1934,04-21-1956,09-16-1966,https://www.baseball-almanac.com/players/player.php?p=keougma01
55.,J.C. Hartman,,91.063,04-15-1934,07-21-1962,07-01-1963,https://www.baseball-almanac.com/players/player.php?p=hartmj01
56.,Jackie Brandt,,91.050,04-28-1934,04-21-1956,09-02-1967,https://www.baseball-almanac.com/players/player.php?p=brandja01
57.,Luis Aparicio,,91.049,04-29-1934,04-17-1956,09-28-1973,https://www.baseball-almanac.com/players/player.php?p=aparilu01
58.,Jim Mahoney,,91.022,05-26-1934,07-28-1959,06-14-1965,https://www.baseball-almanac.com/players/player.php?p=mahonji01
59.,Jim Gentile,,91.014,06-03-1934,09-10-1957,09-30-1966,https://www.baseball-almanac.com/players/player.php?p=gentiji01
60.,Russ Snyder,,90.360,06-22-1934,04-18-1959,09-30-1970,https://www.baseball-almanac.com/players/player.php?p=snyderu01
61.,Ed Hobaugh,,90.355,06-27-1934,04-19-1961,09-27-1963,https://www.baseball-almanac.com/players/player.php?p=hobaued01
62.,Ralph Mauriello,,90.296,08-25-1934,09-13-1958,09-27-1958,https://www.baseball-almanac.com/players/player.php?p=maurira01
63.,Don Bradey,,90.256,10-04-1934,09-25-1964,10-04-1964,https://www.baseball-almanac.com/players/player.php?p=bradedo01
64.,Bob Duliba,,90.159,01-09-1935,08-11-1959,05-09-1967,https://www.baseball-almanac.com/players/player.php?p=dulibbo01
65.,Ted Bowsfield,,90.158,01-10-1935,07-20-1958,10-02-1964,https://www.baseball-almanac.com/players/player.php?p=bowsfte01
66.,Don Kaiser,,90.134,02-03-1935,07-20-1955,09-24-1957,https://www.baseball-almanac.com/players/player.php?p=kaisedo01
67.,Dick Tracewski,,90.134,02-03-1935,04-12-1962,09-27-1969,https://www.baseball-almanac.com/players/player.php?p=tracedi01
68.,Mack Burk,,90.057,04-21-1935,05-25-1956,06-22-1958,https://www.baseball-almanac.com/players/player.php?p=burkma01
69.,Bob Botz,,90.050,04-28-1935,05-08-1962,09-29-1962,https://www.baseball-almanac.com/players/player.php?p=botzbo01
70.,Pedro Ramos,,90.050,04-28-1935,04-11-1955,04-25-1970,https://www.baseball-almanac.com/players/player.php?p=ramospe01
71.,Felipe Alou,,90.036,05-12-1935,06-08-1958,04-24-1974,https://www.baseball-almanac.com/players/player.php?p=aloufe01
72.,Bill Dailey,,90.035,05-13-1935,08-17-1961,06-04-1964,https://www.baseball-almanac.com/players/player.php?p=dailebi01
73.,Ken Hamlin,,90.030,05-18-1935,06-17-1957,09-26-1966,https://www.baseball-almanac.com/players/player.php?p=hamlike01
74.,Eddie Haas,,90.022,05-26-1935,09-08-1957,10-01-1960,https://www.baseball-almanac.com/players/player.php?p=haased01
75.,Hal Kolstad,,90.016,06-01-1935,04-22-1962,07-17-1963,https://www.baseball-almanac.com/players/player.php?p=kolstha01
76.,Charlie Dees,,89.358,06-24-1935,05-26-1963,10-02-1965,https://www.baseball-almanac.com/players/player.php?p=deesch01
77.,Buddy Gilbert,,89.326,07-26-1935,09-09-1959,09-27-1959,https://www.baseball-almanac.com/players/player.php?p=gilbebu01
78.,John Edelman,,89.325,07-27-1935,06-02-1955,09-21-1955,https://www.baseball-almanac.com/players/player.php?p=edelmjo01
79.,Terry Fox,,89.321,07-31-1935,09-04-1960,09-25-1966,https://www.baseball-almanac.com/players/player.php?p=foxte01
80.,Ken McBride,,89.309,08-12-1935,08-04-1959,08-15-1965,https://www.baseball-almanac.com/players/player.php?p=mcbrike01
81.,Bob Humphreys,,89.303,08-18-1935,09-08-1962,09-25-1970,https://www.baseball-almanac.com/players/player.php?p=humphbo01
82.,Bobby Richardson,,89.302,08-19-1935,08-05-1955,10-02-1966,https://www.baseball-almanac.com/players/player.php?p=richabo01
83.,Frank Funk,,89.291,08-30-1935,09-03-1960,09-22-1963,https://www.baseball-almanac.com/players/player.php?p=funkfr01
84.,Tom Patton,,89.285,09-05-1935,04-30-1957,04-30-1957,https://www.baseball-almanac.com/players/player.php?p=pattoto01
85.,Jim Proctor,,89.281,09-09-1935,09-14-1959,09-26-1959,https://www.baseball-almanac.com/players/player.php?p=proctji01
86.,Jerry Mallett,,89.272,09-18-1935,09-19-1959,09-27-1959,https://www.baseball-almanac.com/players/player.php?p=malleje01
87.,Howie Bedell,,89.261,09-29-1935,04-10-1962,07-04-1968,https://www.baseball-almanac.com/players/player.php?p=bedelho01
88.,Tony Kubek,,89.248,10-12-1935,04-20-1957,10-03-1965,https://www.baseball-almanac.com/players/player.php?p=kubekto01
89.,Jim Perry,,89.230,10-30-1935,04-23-1959,08-05-1975,https://www.baseball-almanac.com/players/player.php?p=perryji01
90.,Jim Duffalo,,89.204,11-25-1935,04-12-1961,09-10-1965,https://www.baseball-almanac.com/players/player.php?p=duffaji01
91.,Sandy Koufax,,89.169,12-30-1935,06-24-1955,10-02-1966,https://www.baseball-almanac.com/players/player.php?p=koufasa01
92.,John DeMerit,,89.160,01-08-1936,06-18-1957,05-20-1962,https://www.baseball-almanac.com/players/player.php?p=demerjo01
93.,Dick Stigman,,89.144,01-24-1936,04-22-1960,09-10-1966,https://www.baseball-almanac.com/players/player.php?p=stigmdi01
94.,Buddy Pritchard,,89.143,01-25-1936,04-21-1957,09-01-1957,https://www.baseball-almanac.com/players/player.php?p=pritcbu01
95.,Evans Killeen,,89.110,02-27-1936,09-07-1959,09-25-1959,https://www.baseball-almanac.com/players/player.php?p=killeev01
96.,Don Schwall,,89.107,03-02-1936,05-21-1961,04-12-1967,https://www.baseball-almanac.com/players/player.php?p=schwado01
97.,Galen Cisco,,89.102,03-07-1936,06-11-1961,09-07-1969,https://www.baseball-almanac.com/players/player.php?p=ciscoga01
98.,Jim Golden,,89.089,03-20-1936,09-30-1960,04-23-1963,https://www.baseball-almanac.com/players/player.php?p=goldeji01
99.,Jimmie Schaffer,,89.073,04-05-1936,05-20-1961,07-11-1968,https://www.baseball-almanac.com/players/player.php?p=schafji01
100.,Hal Jones,,89.069,04-09-1936,04-25-1961,09-30-1962,https://www.baseball-almanac.com/players/player.php?p=jonesha01
101.,Floyd Robinson,,89.039,05-09-1936,08-10-1960,09-29-1968,https://www.baseball-almanac.com/players/player.php?p=robinfl01
102.,Carl Mathias,,89.004,06-13-1936,07-31-1960,07-14-1961,https://www.baseball-almanac.com/players/player.php?p=mathica01
103.,Gene Leek,,88.337,07-15-1936,04-22-1959,09-30-1962,https://www.baseball-almanac.com/players/player.php?p=leekge01
104.,Jim McManus,,88.332,07-20-1936,09-21-1960,10-02-1960,https://www.baseball-almanac.com/players/player.php?p=mcmanji01
105.,Jerry McNertney,,88.314,08-07-1936,04-16-1964,06-15-1973,https://www.baseball-almanac.com/players/player.php?p=mcnerje01
106.,Julian Javier,,88.312,08-09-1936,05-28-1960,09-30-1972,https://www.baseball-almanac.com/players/player.php?p=javieju01
107.,Cliff Cook,,88.301,08-20-1936,09-09-1959,07-07-1963,https://www.baseball-almanac.com/players/player.php?p=cookcl01
108.,Bill Mazeroski,,88.285,09-05-1936,07-07-1956,10-04-1972,https://www.baseball-almanac.com/players/player.php?p=mazerbi01
109.,Doug Camilli,,88.268,09-22-1936,09-25-1960,09-14-1969,https://www.baseball-almanac.com/players/player.php?p=camildo02
110.,Rick Herrscher,,88.226,11-03-1936,08-01-1962,09-26-1962,https://www.baseball-almanac.com/players/player.php?p=herrsri01
111.,Gary Bell,,88.212,11-17-1936,06-01-1958,09-12-1969,https://www.baseball-almanac.com/players/player.php?p=bellga01
112.,Jay Hook,,88.211,11-18-1936,09-03-1957,05-03-1964,https://www.baseball-almanac.com/players/player.php?p=hookja01
113.,Clay Dalrymple,,88.196,12-03-1936,04-24-1960,09-25-1971,https://www.baseball-almanac.com/players/player.php?p=dalrycl01
114.,Dave Eilers,,88.196,12-03-1936,07-27-1964,09-26-1967,https://www.baseball-almanac.com/players/player.php?p=eilerda01
115.,Jack Feller,,88.189,12-10-1936,09-13-1958,09-13-1958,https://www.baseball-almanac.com/players/player.php?p=felleja01
116.,J.C. Martin,,88.186,12-13-1936,09-10-1959,08-12-1972,https://www.baseball-almanac.com/players/player.php?p=martij01
117.,Duane Richards,,88.183,12-16-1936,09-25-1960,10-01-1960,https://www.baseball-almanac.com/players/player.php?p=richadu01
118.,Rollie Sheldon,,88.182,12-17-1936,04-23-1961,09-18-1966,https://www.baseball-almanac.com/players/player.php?p=sheldro01
119.,Jack Kubiszyn,,88.180,12-19-1936,04-23-1961,09-30-1962,https://www.baseball-almanac.com/players/player.php?p=kubisja01
120.,Wayne Causey,,88.173,12-26-1936,06-05-1955,09-10-1968,https://www.baseball-almanac.com/players/player.php?p=causewa01
121.,Sonny Siebert,,88.154,01-14-1937,04-26-1964,09-25-1975,https://www.baseball-almanac.com/players/player.php?p=siebeso01
122.,Moe Morhardt,,88.152,01-16-1937,09-07-1961,05-19-1962,https://www.baseball-almanac.com/players/player.php?p=morhamo01
123.,Don Buford,,88.135,02-02-1937,09-14-1963,10-03-1972,https://www.baseball-almanac.com/players/player.php?p=bufordo01
124.,Jim Small,,88.101,03-08-1937,06-22-1955,09-27-1958,https://www.baseball-almanac.com/players/player.php?p=smallji01
125.,Dave Thies,,88.088,03-21-1937,04-20-1963,06-07-1963,https://www.baseball-almanac.com/players/player.php?p=thiesda01
126.,Dick Egan,,88.085,03-24-1937,04-09-1963,09-04-1967,https://www.baseball-almanac.com/players/player.php?p=egandi02
127.,Phil Regan,,88.072,04-06-1937,07-19-1960,07-15-1972,https://www.baseball-almanac.com/players/player.php?p=reganph01
128.,Bill Haywood,,88.057,04-21-1937,07-28-1968,09-11-1968,https://www.baseball-almanac.com/players/player.php?p=haywobi01
129.,Claude Raymond,,88.041,05-07-1937,04-15-1959,09-25-1971,https://www.baseball-almanac.com/players/player.php?p=raymocl01
130.,Art Lopez,,88.040,05-08-1937,04-12-1965,09-29-1965,https://www.baseball-almanac.com/players/player.php?p=lopezar01
131.,Phil Mudrock,,88.005,06-12-1937,04-19-1963,04-19-1963,https://www.baseball-almanac.com/players/player.php?p=mudroph01
132.,Jake Wood,,87.360,06-22-1937,04-11-1961,08-11-1967,https://www.baseball-almanac.com/players/player.php?p=woodja01
133.,Ron Nischwitz,,87.351,07-01-1937,09-04-1961,09-19-1965,https://www.baseball-almanac.com/players/player.php?p=nischro01
134.,Gordon Seyfried,,87.348,07-04-1937,09-13-1963,04-28-1964,https://www.baseball-almanac.com/players/player.php?p=seyfrgo01
135.,Larry Burright,,87.342,07-10-1937,04-12-1962,04-18-1964,https://www.baseball-almanac.com/players/player.php?p=burrila01
136.,Lee Elia,,87.336,07-16-1937,04-23-1966,09-13-1968,https://www.baseball-almanac.com/players/player.php?p=eliale01
137.,Dean Look,,87.329,07-23-1937,09-22-1961,09-30-1961,https://www.baseball-almanac.com/players/player.php?p=lookde01
138.,Frank Kostro,,87.317,08-04-1937,09-02-1962,09-21-1969,https://www.baseball-almanac.com/players/player.php?p=kostrfr01
139.,Ossie Chavarria,,87.316,08-05-1937,04-14-1966,08-02-1967,https://www.baseball-almanac.com/players/player.php?p=chavaos01
140.,Bill Pleis,,87.316,08-05-1937,04-16-1961,09-15-1966,https://www.baseball-almanac.com/players/player.php?p=pleisbi01
141.,Diego Segui,,87.304,08-17-1937,04-12-1962,09-24-1977,https://www.baseball-almanac.com/players/player.php?p=seguidi01
142.,Jack Damaska,,87.300,08-21-1937,07-03-1963,07-20-1963,https://www.baseball-almanac.com/players/player.php?p=damasja01
143.,Hal Stowe,,87.292,08-29-1937,09-30-1960,09-30-1960,https://www.baseball-almanac.com/players/player.php?p=stoweha01
144.,Juan Marichal,,87.240,10-20-1937,07-19-1960,04-16-1975,https://www.baseball-almanac.com/players/player.php?p=maricju01
145.,Bob Farley,,87.214,11-15-1937,04-15-1961,09-26-1962,https://www.baseball-almanac.com/players/player.php?p=farlebo01
146.,Tony Balsamo,,87.208,11-21-1937,04-14-1962,06-26-1962,https://www.baseball-almanac.com/players/player.php?p=balsato01
147.,Corky Withrow,,87.201,11-28-1937,09-06-1963,09-28-1963,https://www.baseball-almanac.com/players/player.php?p=withrco01
148.,George Thomas,,87.200,11-29-1937,09-11-1957,08-25-1971,https://www.baseball-almanac.com/players/player.php?p=thomage01
149.,Charlie James,,87.177,12-22-1937,08-02-1960,09-27-1965,https://www.baseball-almanac.com/players/player.php?p=jamesch01
150.,Tim Harkness,,87.176,12-23-1937,09-12-1961,07-28-1964,https://www.baseball-almanac.com/players/player.php?p=harknti01
151.,Bobby Klaus,,87.172,12-27-1937,04-21-1964,10-03-1965,https://www.baseball-almanac.com/players/player.php?p=klausbo01
152.,Max Alvis,,87.135,02-02-1938,09-11-1962,09-27-1970,https://www.baseball-almanac.com/players/player.php?p=alvisma01
153.,Johnny Werhas,,87.130,02-07-1938,04-14-1964,09-30-1967,https://www.baseball-almanac.com/players/player.php?p=werhajo01
154.,Dick Hughes,,87.124,02-13-1938,09-11-1966,09-28-1968,https://www.baseball-almanac.com/players/player.php?p=hughedi01
155.,Chuck Estrada,,87.122,02-15-1938,04-21-1960,06-11-1967,https://www.baseball-almanac.com/players/player.php?p=estrach01
156.,Manny Mota,,87.119,02-18-1938,04-16-1962,09-01-1982,https://www.baseball-almanac.com/players/player.php?p=motama01
157.,Larry Elliot,,87.104,03-05-1938,04-19-1962,09-24-1966,https://www.baseball-almanac.com/players/player.php?p=elliola01
158.,Jimmie Hall,,87.092,03-17-1938,04-09-1963,09-13-1970,https://www.baseball-almanac.com/players/player.php?p=hallji02
159.,Dave Baldwin,,87.079,03-30-1938,09-06-1966,08-07-1973,https://www.baseball-almanac.com/players/player.php?p=baldwda01
160.,Al Weis,,87.076,04-02-1938,09-15-1962,06-23-1971,https://www.baseball-almanac.com/players/player.php?p=weisal01
161.,Ron Hansen,,87.073,04-05-1938,04-15-1958,06-20-1972,https://www.baseball-almanac.com/players/player.php?p=hansero02
162.,Jim Dickson,,87.058,04-20-1938,07-02-1963,07-24-1966,https://www.baseball-almanac.com/players/player.php?p=dicksji01
163.,Ray Washburn,,87.017,05-31-1938,09-20-1961,10-01-1970,https://www.baseball-almanac.com/players/player.php?p=washbra01
164.,Lee Gregory,,87.015,06-02-1938,04-17-1964,09-11-1964,https://www.baseball-almanac.com/players/player.php?p=gregole01
165.,Art Mahaffey,,87.013,06-04-1938,07-30-1960,06-28-1966,https://www.baseball-almanac.com/players/player.php?p=mahafar01
166.,Johnny Edwards,,87.007,06-10-1938,06-27-1961,10-02-1974,https://www.baseball-almanac.com/players/player.php?p=edwarjo01
167.,Billy Williams,,87.002,06-15-1938,08-06-1959,10-02-1976,https://www.baseball-almanac.com/players/player.php?p=willibi01
168.,Bob Aspromonte,,86.363,06-19-1938,09-19-1956,09-28-1971,https://www.baseball-almanac.com/players/player.php?p=asprobo01
169.,Craig Anderson,,86.351,07-01-1938,06-23-1961,05-27-1964,https://www.baseball-almanac.com/players/player.php?p=andercr01
170.,Bob Lipski,,86.345,07-07-1938,04-28-1963,05-01-1963,https://www.baseball-almanac.com/players/player.php?p=lipskbo01
171.,Bob Burda,,86.336,07-16-1938,08-25-1962,08-23-1972,https://www.baseball-almanac.com/players/player.php?p=burdabo01
172.,Tony Oliva,,86.332,07-20-1938,09-09-1962,09-29-1976,https://www.baseball-almanac.com/players/player.php?p=olivato01
173.,Buck Rodgers,,86.305,08-16-1938,09-08-1961,09-28-1969,https://www.baseball-almanac.com/players/player.php?p=rodgebu01
174.,Dick Lines,,86.304,08-17-1938,04-16-1966,10-01-1967,https://www.baseball-almanac.com/players/player.php?p=linesdi01
175.,Joe McCabe,,86.294,08-27-1938,04-18-1964,05-22-1965,https://www.baseball-almanac.com/players/player.php?p=mccabjo01
176.,Billy Cowan,,86.293,08-28-1938,09-09-1963,04-24-1972,https://www.baseball-almanac.com/players/player.php?p=cowanbi01
177.,Merlin Nippert,,86.289,09-01-1938,09-12-1962,09-22-1962,https://www.baseball-almanac.com/players/player.php?p=nippeme01
178.,Bob Heffner,,86.277,09-13-1938,06-19-1963,05-20-1968,https://www.baseball-almanac.com/players/player.php?p=heffnbo01
179.,Frank Carpin,,86.276,09-14-1938,05-25-1965,09-03-1966,https://www.baseball-almanac.com/players/player.php?p=carpifr01
180.,Bobby Wine,,86.273,09-17-1938,09-20-1960,07-08-1972,https://www.baseball-almanac.com/players/player.php?p=winebo01
181.,Alex George,,86.263,09-27-1938,09-16-1955,09-25-1955,https://www.baseball-almanac.com/players/player.php?p=georgal01
182.,Bill Roman,,86.249,10-11-1938,09-30-1964,10-03-1965,https://www.baseball-almanac.com/players/player.php?p=romanbi01
183.,Bobby Knoop,,86.242,10-18-1938,04-13-1964,09-20-1972,https://www.baseball-almanac.com/players/player.php?p=knoopbo01
184.,Jake Gibbs,,86.222,11-07-1938,09-11-1962,09-29-1971,https://www.baseball-almanac.com/players/player.php?p=gibbsja01
185.,Jim Kaat,,86.222,11-07-1938,08-02-1959,07-01-1983,https://www.baseball-almanac.com/players/player.php?p=kaatji01
186.,Johnnie Seale,,86.215,11-14-1938,09-20-1964,05-02-1965,https://www.baseball-almanac.com/players/player.php?p=sealejo01
187.,Bud Zipfel,,86.211,11-18-1938,07-26-1961,09-30-1962,https://www.baseball-almanac.com/players/player.php?p=zipfebu01
188.,Jose Tartabull,,86.202,11-27-1938,04-10-1962,07-07-1970,https://www.baseball-almanac.com/players/player.php?p=tartajo01
189.,Billy Bryan,,86.195,12-04-1938,09-12-1961,07-23-1968,https://www.baseball-almanac.com/players/player.php?p=bryanbi01
190.,Al Moran,,86.194,12-05-1938,04-09-1963,05-09-1964,https://www.baseball-almanac.com/players/player.php?p=moranal01
191.,Amado Samuel,,86.193,12-06-1938,04-10-1962,07-05-1964,https://www.baseball-almanac.com/players/player.php?p=samueam01
192.,Leo Cardenas,,86.182,12-17-1938,07-25-1960,09-26-1975,https://www.baseball-almanac.com/players/player.php?p=cardele01
193.,Mike White,,86.181,12-18-1938,09-21-1963,05-05-1965,https://www.baseball-almanac.com/players/player.php?p=whitemi02
194.,Bobby Henrich,,86.175,12-24-1938,05-03-1957,09-19-1959,https://www.baseball-almanac.com/players/player.php?p=henribo01
195.,Guido Grilli,,86.159,01-09-1939,04-12-1966,07-24-1966,https://www.baseball-almanac.com/players/player.php?p=grillgu01
196.,Frank Kreutzer,,86.130,02-07-1939,09-20-1962,05-12-1969,https://www.baseball-almanac.com/players/player.php?p=kreutfr01
197.,Dal Maxvill,,86.119,02-18-1939,06-10-1962,09-28-1975,https://www.baseball-almanac.com/players/player.php?p=maxvida01
198.,Jackie Moore,,86.118,02-19-1939,04-18-1965,09-20-1965,https://www.baseball-almanac.com/players/player.php?p=mooreja01
199.,Jim Weaver,,86.118,02-19-1939,08-13-1967,06-29-1968,https://www.baseball-almanac.com/players/player.php?p=weaveji02
200.,Jack Fisher,,86.105,03-04-1939,04-14-1959,09-26-1969,https://www.baseball-almanac.com/players/player.php?p=fisheja01
201.,Cookie Rojas,,86.103,03-06-1939,04-10-1962,10-01-1977,https://www.baseball-almanac.com/players/player.php?p=rojasco01
202.,Bill Heath,,86.099,03-10-1939,10-03-1965,08-19-1969,https://www.baseball-almanac.com/players/player.php?p=heathbi01
203.,Bernie Allen,,86.062,04-16-1939,04-10-1962,09-19-1973,https://www.baseball-almanac.com/players/player.php?p=allenbe01
204.,Bob Hendley,,86.048,04-30-1939,06-23-1961,08-20-1967,https://www.baseball-almanac.com/players/player.php?p=hendlbo01
205.,Jim Duckworth,,86.024,05-24-1939,04-13-1963,07-24-1966,https://www.baseball-almanac.com/players/player.php?p=duckwji01
206.,Doug Clemens,,86.008,06-09-1939,10-02-1960,09-27-1968,https://www.baseball-almanac.com/players/player.php?p=clemedo01
207.,Ty Cline,,86.002,06-15-1939,09-14-1960,09-26-1971,https://www.baseball-almanac.com/players/player.php?p=clinety01
208.,Gordie Richardson,,85.333,07-19-1939,07-26-1964,06-05-1966,https://www.baseball-almanac.com/players/player.php?p=richago01
209.,Bob Meyer,,85.317,08-04-1939,04-20-1964,05-20-1970,https://www.baseball-almanac.com/players/player.php?p=meyerbo01
210.,Claude Osteen,,85.312,08-09-1939,07-06-1957,09-27-1975,https://www.baseball-almanac.com/players/player.php?p=osteecl01
211.,Joe Azcue,,85.303,08-18-1939,08-03-1960,09-29-1972,https://www.baseball-almanac.com/players/player.php?p=azcuejo01
212.,Carl Yastrzemski,,85.299,08-22-1939,04-11-1961,10-02-1983,https://www.baseball-almanac.com/players/player.php?p=yastrca01
213.,Dooley Womack,,85.296,08-25-1939,04-14-1966,09-27-1970,https://www.baseball-almanac.com/players/player.php?p=womacdo01
214.,Tom Parsons,,85.277,09-13-1939,09-05-1963,09-09-1965,https://www.baseball-almanac.com/players/player.php?p=parsoto01
